Bitcoins,Bug,Virus,Trojaner,Nokia,Thunderbird,Settings,Firefox,Bluescreen,Kabel,Mauszeigerschütze,CD-Werfer,Antivirusprogramm,Lüftung,Wifi-Router,Schockfeld,Aktion
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Warten
100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Warten
200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mauszeigerschütze
500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mauszeigerschütze
800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mauszeigerschütze
10,0,0,0,0,0,0,1,0,2,0,1,1,3,1,4,Warten
100,0,0,0,0,0,0,1,0,0,3,2,0,0,0,1,Warten
200,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Mauszeigerschütze
500,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,Mauszeigerschütze
800,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,Mauszeigerschütze
10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Warten
100,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
200,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
500,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Antivirusprogramm
800,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Antivirusprogramm
10,0,4,5,2,2,1,1,1,1,1,1,1,5,0,5,Warten
10,2,2,4,0,1,1,1,1,1,1,3,5,5,4,1,Warten
10,4,4,4,2,5,0,1,1,0,5,2,3,1,0,1,Warten
500,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,Antivirusprogramm
800,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,Antivirusprogramm
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Warten
100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Antivirusprogramm
200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CD-Werfer
500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Antivirusprogramm
800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Antivirusprogramm
10,2,0,5,1,0,0,0,0,0,1,0,0,1,0,2,Warten
100,2,0,5,1,0,0,0,0,0,1,2,1,1,2,0,Warten
200,5,0,5,1,0,0,0,0,0,2,2,0,1,1,2,CD-Werfer
500,1,0,5,1,0,0,0,1,0,2,1,2,0,0,1,Antivirusprogramm
800,1,0,5,1,0,0,0,0,0,1,2,1,0,0,2,Antivirusprogramm
10,4,0,5,1,0,0,0,0,0,1,1,1,2,1,1,Warten
100,2,0,5,1,0,0,0,0,0,2,2,0,1,0,0,Warten
200,0,0,5,1,0,0,0,0,0,1,2,1,2,1,1,CD-Werfer
500,2,0,5,1,0,0,0,1,0,0,0,2,2,2,1,Antivirusprogramm
